id,value
BNF.1: Gastro-Intestinal System.7: Local Prepn for Anal & Rectal Disorders.1: Soothing Haemorrhoidal Preparations,
BNF.1: Gastro-Intestinal System.7: Local Prepn for Anal & Rectal Disorders.2: Co Haemorrhoidal Prep's + Corticosteroid,
BNF.1: Gastro-Intestinal System.7: Local Prepn for Anal & Rectal Disorders.3: Rectal Sclerosants,
BNF.1: Gastro-Intestinal System.7: Local Prepn for Anal & Rectal Disorders.4: Management of Anal Fissures,
BNF.1: Gastro-Intestinal System.8: Stoma Care,
BNF.1: Gastro-Intestinal System.8: Stoma Care.1: Local Care of Stoma,
BNF.1: Gastro-Intestinal System.9: Drugs Affecting Intestinal Secretions,
BNF.1: Gastro-Intestinal System.9: Drugs Affecting Intestinal Secretions.1: Drugs Affecting Biliary Composition&Flow,
BNF.1: Gastro-Intestinal System.9: Drugs Affecting Intestinal Secretions.4: Pancreatin,
BNF.2: Cardiovascular System,
BNF.2: Cardiovascular System.1: Positive Inotropic Drugs,
BNF.2: Cardiovascular System.1: Positive Inotropic Drugs.1: Cardiac Glycosides,
BNF.2: Cardiovascular System.1: Positive Inotropic Drugs.2: Phosphodiesterase Type-3 Inhibitors,
BNF.2: Cardiovascular System.2: Diuretics,
BNF.2: Cardiovascular System.2: Diuretics.1: Thiazides And Related Diuretics,
BNF.2: Cardiovascular System.2: Diuretics.2: Loop Diuretics,
BNF.2: Cardiovascular System.2: Diuretics.3: Pot-Sparing Diuretics&Aldosterone Antag,
BNF.2: Cardiovascular System.2: Diuretics.4: Potassium Sparing Diuretics & Compounds,
BNF.2: Cardiovascular System.2: Diuretics.5: Osmotic Diuretics,
BNF.2: Cardiovascular System.2: Diuretics.8: Diuretics With Potassium,
BNF.2: Cardiovascular System.3: Anti-Arrhythmic Drugs,
BNF.2: Cardiovascular System.3: Anti-Arrhythmic Drugs.2: Drugs For Arrhythmias,
BNF.2: Cardiovascular System.4: Beta-Adrenoceptor Blocking Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.1: Vasodilator Antihypertensive Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.2: Centrally-Acting Antihypertensive Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.3: Adrenergic Neurone Blocking Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.4: Alpha-Adrenoceptor Blocking Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.5: Renin-Angiotensin System Drugs,
BNF.2: Cardiovascular System.5: Hypertension and Heart Failure.8: Other Adrenergic Neurone Blocking Drugs,
BNF.2: Cardiovascular System.6: Nit,Calc Block & Other Antianginal Drugs,
BNF.2: Cardiovascular System.6: Nit,Calc Block & Other Antianginal Drugs.1: Nitrates,
BNF.2: Cardiovascular System.6: Nit,Calc Block & Other Antianginal Drugs.2: Calcium-Channel Blockers,
BNF.2: Cardiovascular System.6: Nit,Calc Block & Other Antianginal Drugs.3: Other Antianginal Drugs,
BNF.2: Cardiovascular System.6: Nit,Calc Block & Other Antianginal Drugs.4: Peripheral Vasodilators & Related Drugs,
BNF.2: Cardiovascular System.7: Sympathomimetics,
BNF.2: Cardiovascular System.7: Sympathomimetics.1: Inotropic Sympathomimetics,
BNF.2: Cardiovascular System.7: Sympathomimetics.2: Vasoconstrictor Sympathomimetics,
BNF.2: Cardiovascular System.7: Sympathomimetics.3: Cardiopulmonary Resuscitation,
BNF.2: Cardiovascular System.8: Anticoagulants And Protamine,
BNF.2: Cardiovascular System.8: Anticoagulants And Protamine.1: Parenteral Anticoagulants,
BNF.2: Cardiovascular System.8: Anticoagulants And Protamine.2: Oral Anticoagulants,
BNF.2: Cardiovascular System.8: Anticoagulants And Protamine.3: Protamine Sulfate,
BNF.2: Cardiovascular System.9: Antiplatelet Drugs,
BNF.2: Cardiovascular System.10: Stable Angina Acute/Crnry Synd&Fibrin,
BNF.2: Cardiovascular System.10: Stable Angina Acute/Crnry Synd&Fibrin.2: Fibrinolytic Drugs,
BNF.2: Cardiovascular System.11: Antifibrinolytic Drugs & Haemostatics,
BNF.2: Cardiovascular System.12: Lipid-Regulating Drugs,
BNF.2: Cardiovascular System.13: Local Sclerosants,
BNF.3: Respiratory System,
BNF.3: Respiratory System.1: Bronchodilators,
BNF.3: Respiratory System.1: Bronchodilators.1: Adrenoceptor Agonists,
BNF.3: Respiratory System.1: Bronchodilators.2: Antimuscarinic Bronchodilators,
BNF.3: Respiratory System.1: Bronchodilators.3: Theophylline,
BNF.3: Respiratory System.1: Bronchodilators.4: Compound Bronchodilator Preparations,
BNF.3: Respiratory System.2: Corticosteroids (Respiratory),
BNF.3: Respiratory System.3: Cromoglycate Rel Leukotriene Antagonists,
BNF.3: Respiratory System.3: Cromoglycate Rel Leukotriene Antagonists.1: Cromoglycate and Related Therapy,
BNF.3: Respiratory System.3: Cromoglycate Rel Leukotriene Antagonists.2: Leukotriene Receptor Antagonists,
BNF.3: Respiratory System.3: Cromoglycate Rel Leukotriene Antagonists.3: Phosphodiesterase Type-4 Inhibitors,
BNF.3: Respiratory System.4: Antihist Hyposensit & Allergic Emergen,
BNF.3: Respiratory System.4: Antihist Hyposensit & Allergic Emergen.1: Antihistamines,
BNF.3: Respiratory System.4: Antihist Hyposensit & Allergic Emergen.2: Allergen Immunotherapy,
BNF.3: Respiratory System.4: Antihist Hyposensit & Allergic Emergen.3: Allergic Emergencies,
BNF.3: Respiratory System.5: Resp Stimulants & Pulmonary Surfactants,
BNF.3: Respiratory System.5: Resp Stimulants & Pulmonary Surfactants.1: Respiratory Stimulants,
BNF.3: Respiratory System.6: Oxygen,
BNF.3: Respiratory System.7: Mucolytics,
BNF.3: Respiratory System.8: Aromatic Inhalations,
BNF.3: Respiratory System.9: Cough Preparations,
BNF.3: Respiratory System.9: Cough Preparations.1: Cough Suppressants,
BNF.3: Respiratory System.9: Cough Preparations.2: Expectorant & Demulcent Cough Prep's,
BNF.3: Respiratory System.10: Systemic Nasal Decongestants,
BNF.3: Respiratory System.11: Antifibrotics,
BNF.3: Respiratory System.11: Antifibrotics.1: Antifibrotics,
BNF.4: Central Nervous System,
BNF.4: Central Nervous System.1: Hypnotics And Anxiolytics,
BNF.4: Central Nervous System.1: Hypnotics And Anxiolytics.1: Hypnotics,
BNF.4: Central Nervous System.1: Hypnotics And Anxiolytics.2: Anxiolytics,
BNF.4: Central Nervous System.1: Hypnotics And Anxiolytics.3: Barbiturates,
BNF.4: Central Nervous System.2: Drugs Used In Psychoses & Rel.Disorders,
BNF.4: Central Nervous System.2: Drugs Used In Psychoses & Rel.Disorders.1: Antipsychotic Drugs,
BNF.4: Central Nervous System.2: Drugs Used In Psychoses & Rel.Disorders.2: Antipsychotic Depot Injections,
BNF.4: Central Nervous System.2: Drugs Used In Psychoses & Rel.Disorders.3: Drugs Used for Mania and Hypomania,
BNF.4: Central Nervous System.3: Antidepressant Drugs,
BNF.4: Central Nervous System.3: Antidepressant Drugs.1: Tricyclic & Related Antidepressant Drugs,
BNF.4: Central Nervous System.3: Antidepressant Drugs.2: Monoamine-Oxidase Inhibitors (Maois),
BNF.4: Central Nervous System.3: Antidepressant Drugs.3: Selective Serotonin Re-Uptake Inhibitors,
BNF.4: Central Nervous System.3: Antidepressant Drugs.4: Other Antidepressant Drugs,
BNF.4: Central Nervous System.4: CNS Stimulants and drugs used for ADHD,
BNF.4: Central Nervous System.5: Obesity,
BNF.4: Central Nervous System.5: Obesity.1: Gastro-Intestinal Anti-Obesity Drugs,
BNF.4: Central Nervous System.5: Obesity.2: Centrally-Acting Appetite Suppressants,
BNF.4: Central Nervous System.6: Drugs Used In Nausea And Vertigo,
BNF.4: Central Nervous System.7: Analgesics,
BNF.4: Central Nervous System.7: Analgesic.1: Non-Opioid Analgesics And Compound Prep,
BNF.4: Central Nervous System.7: Analgesic.2: Opioid Analgesics,
BNF.4: Central Nervous System.7: Analgesic.3: Neuropathic Pain,
BNF.4: Central Nervous System.7: Analgesic.4: Antimigraine Drugs,
BNF.4: Central Nervous System.8: Antiepileptic Drugs,
BNF.4: Central Nervous System.8: Antiepileptic Drugs.1: Control Of Epilepsy,
BNF.4: Central Nervous System.8: Antiepileptic Drugs.2: Drugs Used In Status Epilepticus,
BNF.4: Central Nervous System.9: Drugs Used In Park'ism/Related Disorders,
BNF.4: Central Nervous System.9: Drugs Used In Park'ism/Related Disorders.1: Dopaminergic Drugs Used In Parkinsonism,
BNF.4: Central Nervous System.9: Drugs Used In Park'ism/Related Disorders.2: Antimuscarinic Drugs Used In Parkin'ism,
BNF.4: Central Nervous System.9: Drugs Used In Park'ism/Related Disorders.3: Essentialtremor Chorea Tics & Reldisorders,
BNF.4: Central Nervous System.10: Drugs Used In Substance Dependence,
BNF.4: Central Nervous System.10: Drugs Used In Substance Dependence.1: Alcohol Dependence,
BNF.4: Central Nervous System.10: Drugs Used In Substance Dependence.2: Nicotine Dependence,
BNF.4: Central Nervous System.10: Drugs Used In Substance Dependence.3: Opioid Dependence,
BNF.4: Central Nervous System.11: Dementia,
BNF.5: Infections,
BNF.5: Infections.1: Antibacterial Drugs,
BNF.5: Infections.1: Antibacterial Drugs.1: Penicillins,
BNF.5: Infections.1: Antibacterial Drugs.2: Cephalosporins and other Beta-Lactams,
BNF.5: Infections.1: Antibacterial Drugs.3: Tetracyclines,
BNF.5: Infections.1: Antibacterial Drugs.4: Aminoglycosides,
BNF.5: Infections.1: Antibacterial Drugs.5: Macrolides,
BNF.5: Infections.1: Antibacterial Drugs.6: Clindamycin and Lincomycin,
BNF.5: Infections.1: Antibacterial Drugs.7: Some Other Antibacterials,
BNF.5: Infections.1: Antibacterial Drugs.8: Sulfonamides And Trimethoprim,
BNF.5: Infections.1: Antibacterial Drugs.9: Antituberculosis Drugs,
BNF.5: Infections.1: Antibacterial Drugs.10: Antileprotic Drugs,
BNF.5: Infections.1: Antibacterial Drugs.11: Metronidazole Tinidazole & Ornidazole,
BNF.5: Infections.1: Antibacterial Drugs.12: Quinolones,
BNF.5: Infections.1: Antibacterial Drugs.13: Urinary-Tract Infections,
BNF.5: Infections.2: Antifungal Drugs,
BNF.5: Infections.2: Antifungal Drugs.1: Triazole Antifungals,
BNF.5: Infections.2: Antifungal Drugs.2: Imidazole Antifungals,
BNF.5: Infections.2: Antifungal Drugs.3: Polyene Antifungals,
BNF.5: Infections.2: Antifungal Drugs.4: Echinocandin Antifungals,
BNF.5: Infections.2: Antifungal Drugs.5: Other Antifungals,
BNF.5: Infections.3: Antiviral Drugs,
BNF.5: Infections.3: Antiviral Drugs.1: HIV Infection,
BNF.5: Infections.3: Antiviral Drugs.2: Herpesvirus Infections,
BNF.5: Infections.3: Antiviral Drugs.3: Viral Hepatitis,
BNF.5: Infections.3: Antiviral Drugs.4: Influenza,
BNF.5: Infections.3: Antiviral Drugs.5: Respiratory Syncytial Virus,
BNF.5: Infections.4: Antiprotozoal Drugs,
BNF.5: Infections.4: Antiprotozoal Drugs.1: Antimalarials,
BNF.5: Infections.4: Antiprotozoal Drugs.2: Amoebicides,
BNF.5: Infections.4: Antiprotozoal Drugs.4: Antigiardial Drugs,
BNF.5: Infections.4: Antiprotozoal Drugs.5: Leishmaniacides,
BNF.5: Infections.4: Antiprotozoal Drugs.8: Drugs For Pneumocystis Pneumonia,
BNF.5: Infections.5: Anthelmintics,
BNF.5: Infections.5: Anthelmintics.1: Drugs For Threadworms,
BNF.5: Infections.5: Anthelmintics.2: Ascaricides,
BNF.5: Infections.5: Anthelmintics.3: Drugs For Tapeworm Infections,
BNF.5: Infections.5: Anthelmintics.5: Schistosomicides,
BNF.5: Infections.5: Anthelmintics.6: Filaricides,
BNF.6: Endocrine System,
BNF.6: Endocrine System.1: Drugs Used In Diabetes,
BNF.6: Endocrine System.1: Drugs Used In Diabetes.1: Insulin,
BNF.6: Endocrine System.1: Drugs Used In Diabetes.2: Antidiabetic Drugs,
BNF.6: Endocrine System.1: Drugs Used In Diabetes.4: Treatment Of Hypoglycaemia,
BNF.6: Endocrine System.1: Drugs Used In Diabetes.6: Diabetic Diagnostic & Monitoring Agents,
BNF.6: Endocrine System.2: Thyroid And Antithyroid Drugs,
BNF.6: Endocrine System.2: Thyroid And Antithyroid Drugs.1: Thyroid Hormones,
BNF.6: Endocrine System.2: Thyroid And Antithyroid Drugs.2: Antithyroid Drugs,
BNF.6: Endocrine System.3: Corticosteroids (Endocrine),
BNF.6: Endocrine System.3: Corticosteroids (Endocrine).1: Replacement Therapy,
BNF.6: Endocrine System.3: Corticosteroids (Endocrine).2: Glucocorticoid Therapy,
BNF.6: Endocrine System.4: Sex Hormones,
BNF.6: Endocrine System.4: Sex Hormones.1: Female Sex Hormones & Their Modulators,
BNF.6: Endocrine System.4: Sex Hormones.2: Male Sex Hormones And Antagonists,
BNF.6: Endocrine System.4: Sex Hormones.3: Anabolic Steroids,
BNF.6: Endocrine System.5: Hypothalamic&Pituitary Hormones&Antioest,
BNF.6: Endocrine System.5: Hypothalamic&Pituitary Hormones&Antioest.1: Hypothalamic&Ant Pituit Hormone&Antioest,
BNF.6: Endocrine System.5: Hypothalamic&Pituitary Hormones&Antioest.2: Posterior Pituitary Hormones&Antagonists,
BNF.6: Endocrine System.6: Drugs Affecting Bone Metabolism,
BNF.6: Endocrine System.6: Drugs Affecting Bone Metabolism.1: Calcitonin and Parathyroid Hormone,
BNF.6: Endocrine System.6: Drugs Affecting Bone Metabolism.2: Bisphosphonates and Other Drugs,
BNF.6: Endocrine System.7: Other Endocrine Drugs,
BNF.6: Endocrine System.7: Other Endocrine Drugs.1: Bromocriptine & Other Dopaminergic Drugs,
BNF.6: Endocrine System.7: Other Endocrine Drugs.2: Drugs affecting Gonadotrophins,
BNF.6: Endocrine System.7: Other Endocrine Drugs.3: Metyrapone,
BNF.6: Endocrine System.7: Other Endocrine Drugs.4: Somatomedins,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.1: Drugs Used In Obstetrics,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.1: Drugs Used In Obstetrics.1: Prostaglandins And Oxytocics,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.1: Drugs Used In Obstetrics.3: Myometrial Relaxants,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.2: Treatment Of Vaginal & Vulval Conditions,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.2: Treatment Of Vaginal & Vulval Conditions.1: Preparations For Vaginal/Vulval Changes,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.2: Treatment Of Vaginal & Vulval Conditions.2: Vaginal and Vulval Infections,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.3: Contraceptives,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.3: Contraceptives.1: Combined Hormonal Contraceptives/Systems,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.3: Contraceptives.2: Progestogen-only Contraceptives,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.3: Contraceptives.3: Spermicidal Contraceptives,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.3: Contraceptives.5: Emergency Contraception,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.1: Drugs For Urinary Retention,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.2: Drugs/Urin'y Frequ'cy Enuresis & Incont,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.3: Drugs Used In Urological Pain,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.4: Bladder Instillations/Urological Surgery,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.5: Drugs For Erectile Dysfunction,
BNF.7: Obstetrics Gynae+Urinary Tract Disorders.4: Drugs For Genito-Urinary Disorders.6: Drugs For Premature Ejaculation,
BNF.8: Malignant Disease & Immunosuppression,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs.1: Alkylating Drugs,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs.2: Anthracyclines & Cytotoxic Antibiotics,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs.3: Antimetabolites,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs.4: Vinca Alkaloids And Etoposide,
BNF.8: Malignant Disease & Immunosuppression.1: Cytotoxic Drugs.5: Other Antineoplastic Drugs,
BNF.8: Malignant Disease & Immunosuppression.2: Drugs Affecting The Immune Response,
BNF.8: Malignant Disease & Immunosuppression.2: Drugs Affecting The Immune Response.1: Antiproliferative Immunosuppressants,
BNF.8: Malignant Disease & Immunosuppression.2: Drugs Affecting The Immune Response.2: Cortico'oids & Other Immunosuppressants,
BNF.8: Malignant Disease & Immunosuppression.2: Drugs Affecting The Immune Response.3: Anti-lymphocyte Monoclonal Antibodies,
BNF.8: Malignant Disease & Immunosuppression.2: Drugs Affecting The Immune Response.4: Other Immunomodulating Drugs,
BNF.8: Malignant Disease & Immunosuppression.3: Sex Hormones & Antag In Malig Disease,
BNF.8: Malignant Disease & Immunosuppression.3: Sex Hormones & Antag In Malig Disease.1: Oestrogens,
BNF.8: Malignant Disease & Immunosuppression.3: Sex Hormones & Antag In Malig Disease.2: Progestogens,
BNF.8: Malignant Disease & Immunosuppression.3: Sex Hormones & Antag In Malig Disease.4: Hormone Antagonists,
BNF.9: Nutrition And Blood,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders.1: Iron-Deficiency Anaemias,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders.2: Drugs used in Megaloblastic Anaemias,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders.3: Hypoplastic/Haemolytic & Renal Anaemias,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders.4: Drugs used in Platelet Disorders,
BNF.9: Nutrition And Blood.1: Anaemias + Other Blood Disorders.6: Drugs used in Neutropenia,
BNF.9: Nutrition And Blood.2: Fluids And Electrolytes,
BNF.9: Nutrition And Blood.2: Fluids And Electrolytes.1: Oral Prepn for Fluid & Electrolyte Imb,
BNF.9: Nutrition And Blood.2: Fluids And Electrolytes.2: Parent Prepn for Fluid & Electrolyte Imb,
BNF.9: Nutrition And Blood.3: Intravenous Nutrition,
BNF.9: Nutrition And Blood.4: Oral Nutrition,
BNF.9: Nutrition And Blood.4: Oral Nutrition.1: Foods For Special Diets,
BNF.9: Nutrition And Blood.4: Oral Nutrition.2: Enteral Nutrition,
BNF.9: Nutrition And Blood.5: Minerals,
BNF.9: Nutrition And Blood.5: Minerals.1: Calcium And Magnesium,
BNF.9: Nutrition And Blood.5: Minerals.2: Phosphorus,
BNF.9: Nutrition And Blood.5: Minerals.3: Fluoride,
BNF.9: Nutrition And Blood.5: Minerals.4: Zinc & Other Minerals,
BNF.9: Nutrition And Blood.5: Minerals.5: Selenium,
BNF.9: Nutrition And Blood.6: Vitamins,
BNF.9: Nutrition And Blood.6: Vitamins.1: Vitamin A,
BNF.9: Nutrition And Blood.6: Vitamins.2: Vitamin B Group,
BNF.9: Nutrition And Blood.6: Vitamins.3: Vitamin C,
BNF.9: Nutrition And Blood.6: Vitamins.4: Vitamin D,
BNF.9: Nutrition And Blood.6: Vitamins.5: Vitamin E,
BNF.9: Nutrition And Blood.6: Vitamins.6: Vitamin K,
BNF.9: Nutrition And Blood.6: Vitamins.7: Multivitamin Preparations,
BNF.9: Nutrition And Blood.6: Vitamins.8: Other Vitamin Formulations,
BNF.9: Nutrition And Blood.7: Bitters And Tonics,
BNF.9: Nutrition And Blood.8: Metabolic Disorders,
BNF.9: Nutrition And Blood.8: Metabolic Disorders.1: Drugs Used in Metabolic Disorders,
BNF.9: Nutrition And Blood.9: Foods,
BNF.9: Nutrition And Blood.10: Compound Vit/Mineral Formulations,
BNF.9: Nutrition And Blood.11: Health Supplements,
BNF.9: Nutrition And Blood.11: Health Supplements.1: Amino Acids & Nutritional Agents,
BNF.9: Nutrition And Blood.11: Health Supplements.2: Enzymes,
BNF.9: Nutrition And Blood.11: Health Supplements.3: Glandular,
BNF.9: Nutrition And Blood.11: Health Supplements.4: Digestive Aids,
BNF.9: Nutrition And Blood.12: Other Health Supplements,
BNF.10: Musculoskeletal & Joint Diseases,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout.1: Non-Steroidal Anti-Inflammatory Drugs,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout.2: Corticosteroids,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout.3: Rheumatic Disease Suppressant Drugs,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout.4: Gout & Cytotoxic Induced Hyperuicaemia,
BNF.10: Musculoskeletal & Joint Diseases.1: Drugs Used In Rheumatic Diseases & Gout.5: Other Drugs For Rheumatic Diseases,
BNF.10: Musculoskeletal & Joint Diseases.2: Drugs Used In Neuromuscular Disorders,
BNF.10: Musculoskeletal & Joint Diseases.2: Drugs Used In Neuromuscular Disorders.1: Dgs Which Enhance Neuromus'ar Transmi'on,
BNF.10: Musculoskeletal & Joint Diseases.2: Drugs Used In Neuromuscular Disorders.2: Skeletal Muscle Relaxants,
BNF.10: Musculoskeletal & Joint Diseases.3: Soft-Tissue Disorders & Topical Pain Rel,
BNF.10: Musculoskeletal & Joint Diseases.3: Soft-Tissue Disorders & Topical Pain Rel.1: Enzymes,
BNF.10: Musculoskeletal & Joint Diseases.3: Soft-Tissue Disorders & Topical Pain Rel.2: Rubefacients,Top NSAIDS,Capsaicin & Poul,
BNF.11: Eye,
BNF.11: Eye.3: Anti-Infective Eye Preparations,
BNF.11: Eye.3: Anti-Infective Eye Preparations.1: Antibacterials,
BNF.11: Eye.3: Anti-Infective Eye Preparations.2: Antifungals,
BNF.11: Eye.3: Anti-Infective Eye Preparations.3: Antivirals,
BNF.11: Eye.4: Corti'roids & Other Anti-Inflamm Preps,
BNF.11: Eye.4: Corti'roids & Other Anti-Inflamm Preps.1: Corticosteroids,
BNF.11: Eye.4: Corti'roids & Other Anti-Inflamm Preps.2: Other Anti-Inflammatory Preparations,
BNF.11: Eye.5: Mydriatics And Cycloplegics,
BNF.11: Eye.6: Treatment Of Glaucoma,
BNF.11: Eye.7: Local Anaesthetics,
BNF.11: Eye.8: Miscellaneous Ophthalmic Preparations,
BNF.11: Eye.8: Miscellaneous Ophthalmic Preparations.1: Tear Deficiency,Eye Lubricant/Astringent,
BNF.11: Eye.8: Miscellaneous Ophthalmic Preparations.2: Ocular Diagnos/Peri-op Prepn&Photodyn Tt,
BNF.11: Eye.8: Miscellaneous Ophthalmic Preparations.3: Other Eye Preparations,
BNF.12: Ear, Nose And Oropharynx,
BNF.12: Ear, Nose And Oropharynx.1: Drugs Acting On The Ear,
BNF.12: Ear, Nose And Oropharynx.1: Drugs Acting On The Ear.1: Otitis Externa,
BNF.12: Ear, Nose And Oropharynx.1: Drugs Acting On The Ear.2: Otitis Media,
BNF.12: Ear, Nose And Oropharynx.1: Drugs Acting On The Ear.3: Removal of Ear Wax & other Substances,
BNF.12: Ear, Nose And Oropharynx.2: Drugs Acting On The Nose,
BNF.12: Ear, Nose And Oropharynx.2: Drugs Acting On The Nose.1: Drugs Used In Nasal Allergy,
BNF.12: Ear, Nose And Oropharynx.2: Drugs Acting On The Nose.2: Topical Nasal Decongestants,
BNF.12: Ear, Nose And Oropharynx.2: Drugs Acting On The Nose.3: Nasal Prepn for Infection,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx.1: Drugs For Oral Ulceration & Inflammation,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx.2: Oropharyngeal Anti-Infective Drugs,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx.3: Lozenges & Sprays,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx.4: Mouth-Washes, Gargles, And Dentifrices,
BNF.12: Ear, Nose And Oropharynx.3: Drugs Acting On The Oropharynx.5: Treatment Of Dry Mouth,
BNF.13: Skin,
BNF.13: Skin.1: Management of Skin Conditions,
BNF.13: Skin.1: Management of Skin Conditions.1: Management of Skin Conditions,
BNF.13: Skin.2: Emollient & Barrier Preparations,
BNF.13: Skin.2: Emollient & Barrier Preparations.1: Emollients,
BNF.13: Skin.2: Emollient & Barrier Preparations.2: Barrier Preparations,
BNF.13: Skin.2: Emollient & Barrier Preparations.3: Dusting-Powders,
