"","Link","Title","string","url","css_string"
"22","agomelatine-2.html"," Agomelatine ","agomelatine-2","https://bnf.nice.org.uk/interaction/agomelatine-2.html","#agomelatine-2 .interactant span"
"23","albendazole-2.html"," Albendazole ","albendazole-2","https://bnf.nice.org.uk/interaction/albendazole-2.html","#albendazole-2 .interactant span"
"24","albiglutide-2.html"," Albiglutide ","albiglutide-2","https://bnf.nice.org.uk/interaction/albiglutide-2.html","#albiglutide-2 .interactant span"
"25","alcohol-beverage.html"," Alcohol (beverage) ","alcohol-beverage","https://bnf.nice.org.uk/interaction/alcohol-beverage.html","#alcohol-beverage .interactant span"
"26","alectinib-2.html"," Alectinib ","alectinib-2","https://bnf.nice.org.uk/interaction/alectinib-2.html","#alectinib-2 .interactant span"
"27","alemtuzumab-2.html"," Alemtuzumab ","alemtuzumab-2","https://bnf.nice.org.uk/interaction/alemtuzumab-2.html","#alemtuzumab-2 .interactant span"
"28","alendronic-acid-2.html"," Alendronic acid ","alendronic-acid-2","https://bnf.nice.org.uk/interaction/alendronic-acid-2.html","#alendronic-acid-2 .interactant span"
"29","alfacalcidol-2.html"," Alfacalcidol ","alfacalcidol-2","https://bnf.nice.org.uk/interaction/alfacalcidol-2.html","#alfacalcidol-2 .interactant span"
"30","alfentanil-2.html"," Alfentanil ","alfentanil-2","https://bnf.nice.org.uk/interaction/alfentanil-2.html","#alfentanil-2 .interactant span"
"31","alfuzosin.html"," Alfuzosin ","alfuzosin","https://bnf.nice.org.uk/interaction/alfuzosin.html","#alfuzosin .interactant span"
"32","alimemazine.html"," Alimemazine ","alimemazine","https://bnf.nice.org.uk/interaction/alimemazine.html","#alimemazine .interactant span"
"33","alirocumab-2.html"," Alirocumab ","alirocumab-2","https://bnf.nice.org.uk/interaction/alirocumab-2.html","#alirocumab-2 .interactant span"
"34","aliskiren-2.html"," Aliskiren ","aliskiren-2","https://bnf.nice.org.uk/interaction/aliskiren-2.html","#aliskiren-2 .interactant span"
"35","alitretinoin-2.html"," Alitretinoin ","alitretinoin-2","https://bnf.nice.org.uk/interaction/alitretinoin-2.html","#alitretinoin-2 .interactant span"
"36","allopurinol-2.html"," Allopurinol ","allopurinol-2","https://bnf.nice.org.uk/interaction/allopurinol-2.html","#allopurinol-2 .interactant span"
"37","almotriptan-2.html"," Almotriptan ","almotriptan-2","https://bnf.nice.org.uk/interaction/almotriptan-2.html","#almotriptan-2 .interactant span"
"38","alogliptin-2.html"," Alogliptin ","alogliptin-2","https://bnf.nice.org.uk/interaction/alogliptin-2.html","#alogliptin-2 .interactant span"
"39","alpha-tocopherol-2.html"," Alpha tocopherol ","alpha-tocopherol-2","https://bnf.nice.org.uk/interaction/alpha-tocopherol-2.html","#alpha-tocopherol-2 .interactant span"
"40","alpha-tocopheryl-acetate-2.html"," Alpha tocopheryl acetate ","alpha-tocopheryl-acetate-2","https://bnf.nice.org.uk/interaction/alpha-tocopheryl-acetate-2.html","#alpha-tocopheryl-acetate-2 .interactant span"
"41","alprazolam-2.html"," Alprazolam ","alprazolam-2","https://bnf.nice.org.uk/interaction/alprazolam-2.html","#alprazolam-2 .interactant span"
"42","alprostadil-2.html"," Alprostadil ","alprostadil-2","https://bnf.nice.org.uk/interaction/alprostadil-2.html","#alprostadil-2 .interactant span"
"43","alteplase-2.html"," Alteplase ","alteplase-2","https://bnf.nice.org.uk/interaction/alteplase-2.html","#alteplase-2 .interactant span"
"44","aluminium-hydroxide-2.html"," Aluminium hydroxide ","aluminium-hydroxide-2","https://bnf.nice.org.uk/interaction/aluminium-hydroxide-2.html","#aluminium-hydroxide-2 .interactant span"
"45","amantadine.html"," Amantadine ","amantadine","https://bnf.nice.org.uk/interaction/amantadine.html","#amantadine .interactant span"
"46","ambrisentan-2.html"," Ambrisentan ","ambrisentan-2","https://bnf.nice.org.uk/interaction/ambrisentan-2.html","#ambrisentan-2 .interactant span"
"47","amifampridine-2.html"," Amifampridine ","amifampridine-2","https://bnf.nice.org.uk/interaction/amifampridine-2.html","#amifampridine-2 .interactant span"
"48","amikacin-2.html"," Amikacin ","amikacin-2","https://bnf.nice.org.uk/interaction/amikacin-2.html","#amikacin-2 .interactant span"
"49","amiloride.html"," Amiloride ","amiloride","https://bnf.nice.org.uk/interaction/amiloride.html","#amiloride .interactant span"
"50","aminophylline-2.html"," Aminophylline ","aminophylline-2","https://bnf.nice.org.uk/interaction/aminophylline-2.html","#aminophylline-2 .interactant span"
"51","aminosalicylic-acid-2.html"," Aminosalicylic acid ","aminosalicylic-acid-2","https://bnf.nice.org.uk/interaction/aminosalicylic-acid-2.html","#aminosalicylic-acid-2 .interactant span"
"52","amiodarone.html"," Amiodarone ","amiodarone","https://bnf.nice.org.uk/interaction/amiodarone.html","#amiodarone .interactant span"
"53","amisulpride-2.html"," Amisulpride ","amisulpride-2","https://bnf.nice.org.uk/interaction/amisulpride-2.html","#amisulpride-2 .interactant span"
"54","amitriptyline.html"," Amitriptyline ","amitriptyline","https://bnf.nice.org.uk/interaction/amitriptyline.html","#amitriptyline .interactant span"
"55","amlodipine-2.html"," Amlodipine ","amlodipine-2","https://bnf.nice.org.uk/interaction/amlodipine-2.html","#amlodipine-2 .interactant span"
"56","amoxicillin-2.html"," Amoxicillin ","amoxicillin-2","https://bnf.nice.org.uk/interaction/amoxicillin-2.html","#amoxicillin-2 .interactant span"
"57","amphotericin-2.html"," Amphotericin ","amphotericin-2","https://bnf.nice.org.uk/interaction/amphotericin-2.html","#amphotericin-2 .interactant span"
"58","ampicillin-2.html"," Ampicillin ","ampicillin-2","https://bnf.nice.org.uk/interaction/ampicillin-2.html","#ampicillin-2 .interactant span"
"59","amsacrine-2.html"," Amsacrine ","amsacrine-2","https://bnf.nice.org.uk/interaction/amsacrine-2.html","#amsacrine-2 .interactant span"
"60","anagrelide-2.html"," Anagrelide ","anagrelide-2","https://bnf.nice.org.uk/interaction/anagrelide-2.html","#anagrelide-2 .interactant span"
"61","anakinra-2.html"," Anakinra ","anakinra-2","https://bnf.nice.org.uk/interaction/anakinra-2.html","#anakinra-2 .interactant span"
"62","antazoline.html"," Antazoline ","antazoline","https://bnf.nice.org.uk/interaction/antazoline.html","#antazoline .interactant span"
"63","apixaban-2.html"," Apixaban ","apixaban-2","https://bnf.nice.org.uk/interaction/apixaban-2.html","#apixaban-2 .interactant span"
"64","apomorphine.html"," Apomorphine ","apomorphine","https://bnf.nice.org.uk/interaction/apomorphine.html","#apomorphine .interactant span"
"65","apraclonidine-2.html"," Apraclonidine ","apraclonidine-2","https://bnf.nice.org.uk/interaction/apraclonidine-2.html","#apraclonidine-2 .interactant span"
"66","apremilast-2.html"," Apremilast ","apremilast-2","https://bnf.nice.org.uk/interaction/apremilast-2.html","#apremilast-2 .interactant span"
"67","aprepitant-2.html"," Aprepitant ","aprepitant-2","https://bnf.nice.org.uk/interaction/aprepitant-2.html","#aprepitant-2 .interactant span"
"68","argatroban.html"," Argatroban ","argatroban","https://bnf.nice.org.uk/interaction/argatroban.html","#argatroban .interactant span"
"69","aripiprazole-2.html"," Aripiprazole ","aripiprazole-2","https://bnf.nice.org.uk/interaction/aripiprazole-2.html","#aripiprazole-2 .interactant span"
"70","arsenic-trioxide-2.html"," Arsenic trioxide ","arsenic-trioxide-2","https://bnf.nice.org.uk/interaction/arsenic-trioxide-2.html","#arsenic-trioxide-2 .interactant span"
"71","artemether.html"," Artemether ","artemether","https://bnf.nice.org.uk/interaction/artemether.html","#artemether .interactant span"
"72","artenimol.html"," Artenimol ","artenimol","https://bnf.nice.org.uk/interaction/artenimol.html","#artenimol .interactant span"
"73","articaine.html"," Articaine ","articaine","https://bnf.nice.org.uk/interaction/articaine.html","#articaine .interactant span"
"74","ascorbic-acid-2.html"," Ascorbic acid ","ascorbic-acid-2","https://bnf.nice.org.uk/interaction/ascorbic-acid-2.html","#ascorbic-acid-2 .interactant span"
"75","asenapine-2.html"," Asenapine ","asenapine-2","https://bnf.nice.org.uk/interaction/asenapine-2.html","#asenapine-2 .interactant span"
"76","asparaginase-2.html"," Asparaginase ","asparaginase-2","https://bnf.nice.org.uk/interaction/asparaginase-2.html","#asparaginase-2 .interactant span"
"77","aspirin-2.html"," Aspirin ","aspirin-2","https://bnf.nice.org.uk/interaction/aspirin-2.html","#aspirin-2 .interactant span"
"78","ataluren-2.html"," Ataluren ","ataluren-2","https://bnf.nice.org.uk/interaction/ataluren-2.html","#ataluren-2 .interactant span"
"79","atazanavir-2.html"," Atazanavir ","atazanavir-2","https://bnf.nice.org.uk/interaction/atazanavir-2.html","#atazanavir-2 .interactant span"
"80","atenolol-2.html"," Atenolol ","atenolol-2","https://bnf.nice.org.uk/interaction/atenolol-2.html","#atenolol-2 .interactant span"
"81","atezolizumab-2.html"," Atezolizumab ","atezolizumab-2","https://bnf.nice.org.uk/interaction/atezolizumab-2.html","#atezolizumab-2 .interactant span"
"82","atomoxetine-2.html"," Atomoxetine ","atomoxetine-2","https://bnf.nice.org.uk/interaction/atomoxetine-2.html","#atomoxetine-2 .interactant span"
"83","atorvastatin-2.html"," Atorvastatin ","atorvastatin-2","https://bnf.nice.org.uk/interaction/atorvastatin-2.html","#atorvastatin-2 .interactant span"
"84","atovaquone-2.html"," Atovaquone ","atovaquone-2","https://bnf.nice.org.uk/interaction/atovaquone-2.html","#atovaquone-2 .interactant span"
"85","atracurium.html"," Atracurium ","atracurium","https://bnf.nice.org.uk/interaction/atracurium.html","#atracurium .interactant span"
"86","atropine.html"," Atropine ","atropine","https://bnf.nice.org.uk/interaction/atropine.html","#atropine .interactant span"
"87","avanafil-2.html"," Avanafil ","avanafil-2","https://bnf.nice.org.uk/interaction/avanafil-2.html","#avanafil-2 .interactant span"
"88","avelumab-2.html"," Avelumab ","avelumab-2","https://bnf.nice.org.uk/interaction/avelumab-2.html","#avelumab-2 .interactant span"
"89","axitinib-2.html"," Axitinib ","axitinib-2","https://bnf.nice.org.uk/interaction/axitinib-2.html","#axitinib-2 .interactant span"
"90","azacitidine-2.html"," Azacitidine ","azacitidine-2","https://bnf.nice.org.uk/interaction/azacitidine-2.html","#azacitidine-2 .interactant span"
"91","azathioprine-2.html"," Azathioprine ","azathioprine-2","https://bnf.nice.org.uk/interaction/azathioprine-2.html","#azathioprine-2 .interactant span"
"92","azelastine.html"," Azelastine ","azelastine","https://bnf.nice.org.uk/interaction/azelastine.html","#azelastine .interactant span"
"93","azilsartan.html"," Azilsartan ","azilsartan","https://bnf.nice.org.uk/interaction/azilsartan.html","#azilsartan .interactant span"
"94","azithromycin-2.html"," Azithromycin ","azithromycin-2","https://bnf.nice.org.uk/interaction/azithromycin-2.html","#azithromycin-2 .interactant span"
"95","bacillus-calmette-gu%C3%A9rin-vaccine-2.html"," Bacillus Calmette-Guérin vaccine ","bacillus-calmette-gu%C3%A9rin-vaccine-2","https://bnf.nice.org.uk/interaction/bacillus-calmette-gu%C3%A9rin-vaccine-2.html","#bacillus-calmette-gu%C3%A9rin-vaccine-2 .interactant span"
"96","bacitracin.html"," Bacitracin ","bacitracin","https://bnf.nice.org.uk/interaction/bacitracin.html","#bacitracin .interactant span"
"97","baclofen-2.html"," Baclofen ","baclofen-2","https://bnf.nice.org.uk/interaction/baclofen-2.html","#baclofen-2 .interactant span"
"98","balsalazide.html"," Balsalazide ","balsalazide","https://bnf.nice.org.uk/interaction/balsalazide.html","#balsalazide .interactant span"
"99","bambuterol.html"," Bambuterol ","bambuterol","https://bnf.nice.org.uk/interaction/bambuterol.html","#bambuterol .interactant span"
"100","baricitinib-2.html"," Baricitinib ","baricitinib-2","https://bnf.nice.org.uk/interaction/baricitinib-2.html","#baricitinib-2 .interactant span"
"101","basiliximab-2.html"," Basiliximab ","basiliximab-2","https://bnf.nice.org.uk/interaction/basiliximab-2.html","#basiliximab-2 .interactant span"
"102","bazedoxifene.html"," Bazedoxifene ","bazedoxifene","https://bnf.nice.org.uk/interaction/bazedoxifene.html","#bazedoxifene .interactant span"
"103","beclometasone.html"," Beclometasone ","beclometasone","https://bnf.nice.org.uk/interaction/beclometasone.html","#beclometasone .interactant span"
"104","bedaquiline-2.html"," Bedaquiline ","bedaquiline-2","https://bnf.nice.org.uk/interaction/bedaquiline-2.html","#bedaquiline-2 .interactant span"
"105","belatacept-2.html"," Belatacept ","belatacept-2","https://bnf.nice.org.uk/interaction/belatacept-2.html","#belatacept-2 .interactant span"
"106","belimumab-2.html"," Belimumab ","belimumab-2","https://bnf.nice.org.uk/interaction/belimumab-2.html","#belimumab-2 .interactant span"
"107","bendamustine.html"," Bendamustine ","bendamustine","https://bnf.nice.org.uk/interaction/bendamustine.html","#bendamustine .interactant span"
"108","bendroflumethiazide-2.html"," Bendroflumethiazide ","bendroflumethiazide-2","https://bnf.nice.org.uk/interaction/bendroflumethiazide-2.html","#bendroflumethiazide-2 .interactant span"
"109","benperidol-2.html"," Benperidol ","benperidol-2","https://bnf.nice.org.uk/interaction/benperidol-2.html","#benperidol-2 .interactant span"
"110","benzydamine.html"," Benzydamine ","benzydamine","https://bnf.nice.org.uk/interaction/benzydamine.html","#benzydamine .interactant span"
"111","benzylpenicillin.html"," Benzylpenicillin ","benzylpenicillin","https://bnf.nice.org.uk/interaction/benzylpenicillin.html","#benzylpenicillin .interactant span"
"112","betahistine.html"," Betahistine ","betahistine","https://bnf.nice.org.uk/interaction/betahistine.html","#betahistine .interactant span"
"113","betamethasone-2.html"," Betamethasone ","betamethasone-2","https://bnf.nice.org.uk/interaction/betamethasone-2.html","#betamethasone-2 .interactant span"
"114","betaxolol-2.html"," Betaxolol ","betaxolol-2","https://bnf.nice.org.uk/interaction/betaxolol-2.html","#betaxolol-2 .interactant span"
"115","bevacizumab-2.html"," Bevacizumab ","bevacizumab-2","https://bnf.nice.org.uk/interaction/bevacizumab-2.html","#bevacizumab-2 .interactant span"
"116","bexarotene-2.html"," Bexarotene ","bexarotene-2","https://bnf.nice.org.uk/interaction/bexarotene-2.html","#bexarotene-2 .interactant span"
"117","bezafibrate-2.html"," Bezafibrate ","bezafibrate-2","https://bnf.nice.org.uk/interaction/bezafibrate-2.html","#bezafibrate-2 .interactant span"
"118","bicalutamide-2.html"," Bicalutamide ","bicalutamide-2","https://bnf.nice.org.uk/interaction/bicalutamide-2.html","#bicalutamide-2 .interactant span"
"119","bilastine-2.html"," Bilastine ","bilastine-2","https://bnf.nice.org.uk/interaction/bilastine-2.html","#bilastine-2 .interactant span"
"120","bisoprolol.html"," Bisoprolol ","bisoprolol","https://bnf.nice.org.uk/interaction/bisoprolol.html","#bisoprolol .interactant span"
"121","bivalirudin-2.html"," Bivalirudin ","bivalirudin-2","https://bnf.nice.org.uk/interaction/bivalirudin-2.html","#bivalirudin-2 .interactant span"
"122","bleomycin-2.html"," Bleomycin ","bleomycin-2","https://bnf.nice.org.uk/interaction/bleomycin-2.html","#bleomycin-2 .interactant span"
"123","blinatumomab-2.html"," Blinatumomab ","blinatumomab-2","https://bnf.nice.org.uk/interaction/blinatumomab-2.html","#blinatumomab-2 .interactant span"
"124","bortezomib-2.html"," Bortezomib ","bortezomib-2","https://bnf.nice.org.uk/interaction/bortezomib-2.html","#bortezomib-2 .interactant span"
"125","bosentan-2.html"," Bosentan ","bosentan-2","https://bnf.nice.org.uk/interaction/bosentan-2.html","#bosentan-2 .interactant span"
"126","bosutinib-2.html"," Bosutinib ","bosutinib-2","https://bnf.nice.org.uk/interaction/bosutinib-2.html","#bosutinib-2 .interactant span"
"127","botulinum-toxin-type-a-2.html"," Botulinum toxin type A ","botulinum-toxin-type-a-2","https://bnf.nice.org.uk/interaction/botulinum-toxin-type-a-2.html","#botulinum-toxin-type-a-2 .interactant span"
"128","botulinum-toxin-type-b-2.html"," Botulinum toxin type B ","botulinum-toxin-type-b-2","https://bnf.nice.org.uk/interaction/botulinum-toxin-type-b-2.html","#botulinum-toxin-type-b-2 .interactant span"
"129","brentuximab-vedotin-2.html"," Brentuximab vedotin ","brentuximab-vedotin-2","https://bnf.nice.org.uk/interaction/brentuximab-vedotin-2.html","#brentuximab-vedotin-2 .interactant span"
"130","brimonidine.html"," Brimonidine ","brimonidine","https://bnf.nice.org.uk/interaction/brimonidine.html","#brimonidine .interactant span"
"131","brivaracetam-2.html"," Brivaracetam ","brivaracetam-2","https://bnf.nice.org.uk/interaction/brivaracetam-2.html","#brivaracetam-2 .interactant span"
"132","brodalumab-2.html"," Brodalumab ","brodalumab-2","https://bnf.nice.org.uk/interaction/brodalumab-2.html","#brodalumab-2 .interactant span"
"133","bromfenac-2.html"," Bromfenac ","bromfenac-2","https://bnf.nice.org.uk/interaction/bromfenac-2.html","#bromfenac-2 .interactant span"
"134","bromocriptine-2.html"," Bromocriptine ","bromocriptine-2","https://bnf.nice.org.uk/interaction/bromocriptine-2.html","#bromocriptine-2 .interactant span"
"135","buclizine.html"," Buclizine ","buclizine","https://bnf.nice.org.uk/interaction/buclizine.html","#buclizine .interactant span"
"136","budesonide-2.html"," Budesonide ","budesonide-2","https://bnf.nice.org.uk/interaction/budesonide-2.html","#budesonide-2 .interactant span"
"137","bumetanide-2.html"," Bumetanide ","bumetanide-2","https://bnf.nice.org.uk/interaction/bumetanide-2.html","#bumetanide-2 .interactant span"
"138","bupivacaine.html"," Bupivacaine ","bupivacaine","https://bnf.nice.org.uk/interaction/bupivacaine.html","#bupivacaine .interactant span"
"139","buprenorphine-2.html"," Buprenorphine ","buprenorphine-2","https://bnf.nice.org.uk/interaction/buprenorphine-2.html","#buprenorphine-2 .interactant span"
"140","bupropion.html"," Bupropion ","bupropion","https://bnf.nice.org.uk/interaction/bupropion.html","#bupropion .interactant span"
"141","buspirone.html"," Buspirone ","buspirone","https://bnf.nice.org.uk/interaction/buspirone.html","#buspirone .interactant span"
"142","busulfan-2.html"," Busulfan ","busulfan-2","https://bnf.nice.org.uk/interaction/busulfan-2.html","#busulfan-2 .interactant span"
"143","cabazitaxel-2.html"," Cabazitaxel ","cabazitaxel-2","https://bnf.nice.org.uk/interaction/cabazitaxel-2.html","#cabazitaxel-2 .interactant span"
"144","cabergoline-2.html"," Cabergoline ","cabergoline-2","https://bnf.nice.org.uk/interaction/cabergoline-2.html","#cabergoline-2 .interactant span"
"145","cabozantinib-2.html"," Cabozantinib ","cabozantinib-2","https://bnf.nice.org.uk/interaction/cabozantinib-2.html","#cabozantinib-2 .interactant span"
"146","caffeine-citrate.html"," Caffeine citrate ","caffeine-citrate","https://bnf.nice.org.uk/interaction/caffeine-citrate.html","#caffeine-citrate .interactant span"
"147","calcipotriol-2.html"," Calcipotriol ","calcipotriol-2","https://bnf.nice.org.uk/interaction/calcipotriol-2.html","#calcipotriol-2 .interactant span"
"148","calcitonin-salmon-2.html"," Calcitonin (salmon) ","calcitonin-salmon-2","https://bnf.nice.org.uk/interaction/calcitonin-salmon-2.html","#calcitonin-salmon-2 .interactant span"
"149","calcitriol-2.html"," Calcitriol ","calcitriol-2","https://bnf.nice.org.uk/interaction/calcitriol-2.html","#calcitriol-2 .interactant span"
"150","calcium-acetate-2.html"," Calcium acetate ","calcium-acetate-2","https://bnf.nice.org.uk/interaction/calcium-acetate-2.html","#calcium-acetate-2 .interactant span"
"151","calcium-carbonate-2.html"," Calcium carbonate ","calcium-carbonate-2","https://bnf.nice.org.uk/interaction/calcium-carbonate-2.html","#calcium-carbonate-2 .interactant span"
"152","calcium-chloride-2.html"," Calcium chloride ","calcium-chloride-2","https://bnf.nice.org.uk/interaction/calcium-chloride-2.html","#calcium-chloride-2 .interactant span"
"153","calcium-gluconate-2.html"," Calcium gluconate ","calcium-gluconate-2","https://bnf.nice.org.uk/interaction/calcium-gluconate-2.html","#calcium-gluconate-2 .interactant span"
"154","calcium-lactate-2.html"," Calcium lactate ","calcium-lactate-2","https://bnf.nice.org.uk/interaction/calcium-lactate-2.html","#calcium-lactate-2 .interactant span"
"155","calcium-phosphate-2.html"," Calcium phosphate ","calcium-phosphate-2","https://bnf.nice.org.uk/interaction/calcium-phosphate-2.html","#calcium-phosphate-2 .interactant span"
"156","canagliflozin-2.html"," Canagliflozin ","canagliflozin-2","https://bnf.nice.org.uk/interaction/canagliflozin-2.html","#canagliflozin-2 .interactant span"
"157","canakinumab-2.html"," Canakinumab ","canakinumab-2","https://bnf.nice.org.uk/interaction/canakinumab-2.html","#canakinumab-2 .interactant span"
"158","candesartan.html"," Candesartan ","candesartan","https://bnf.nice.org.uk/interaction/candesartan.html","#candesartan .interactant span"
"159","cangrelor-2.html"," Cangrelor ","cangrelor-2","https://bnf.nice.org.uk/interaction/cangrelor-2.html","#cangrelor-2 .interactant span"
"160","cannabis-extract-2.html"," Cannabis extract ","cannabis-extract-2","https://bnf.nice.org.uk/interaction/cannabis-extract-2.html","#cannabis-extract-2 .interactant span"
"161","capecitabine-2.html"," Capecitabine ","capecitabine-2","https://bnf.nice.org.uk/interaction/capecitabine-2.html","#capecitabine-2 .interactant span"
"162","capreomycin-2.html"," Capreomycin ","capreomycin-2","https://bnf.nice.org.uk/interaction/capreomycin-2.html","#capreomycin-2 .interactant span"
"163","captopril-2.html"," Captopril ","captopril-2","https://bnf.nice.org.uk/interaction/captopril-2.html","#captopril-2 .interactant span"
"164","carbamazepine-2.html"," Carbamazepine ","carbamazepine-2","https://bnf.nice.org.uk/interaction/carbamazepine-2.html","#carbamazepine-2 .interactant span"
"165","carbidopa.html"," Carbidopa ","carbidopa","https://bnf.nice.org.uk/interaction/carbidopa.html","#carbidopa .interactant span"
"166","carbimazole-2.html"," Carbimazole ","carbimazole-2","https://bnf.nice.org.uk/interaction/carbimazole-2.html","#carbimazole-2 .interactant span"
"167","carboplatin-2.html"," Carboplatin ","carboplatin-2","https://bnf.nice.org.uk/interaction/carboplatin-2.html","#carboplatin-2 .interactant span"
"168","carfilzomib-2.html"," Carfilzomib ","carfilzomib-2","https://bnf.nice.org.uk/interaction/carfilzomib-2.html","#carfilzomib-2 .interactant span"
"169","carmustine-2.html"," Carmustine ","carmustine-2","https://bnf.nice.org.uk/interaction/carmustine-2.html","#carmustine-2 .interactant span"
"170","carvedilol-2.html"," Carvedilol ","carvedilol-2","https://bnf.nice.org.uk/interaction/carvedilol-2.html","#carvedilol-2 .interactant span"
"171","caspofungin-2.html"," Caspofungin ","caspofungin-2","https://bnf.nice.org.uk/interaction/caspofungin-2.html","#caspofungin-2 .interactant span"
"172","cefaclor-2.html"," Cefaclor ","cefaclor-2","https://bnf.nice.org.uk/interaction/cefaclor-2.html","#cefaclor-2 .interactant span"
"173","cefadroxil-2.html"," Cefadroxil ","cefadroxil-2","https://bnf.nice.org.uk/interaction/cefadroxil-2.html","#cefadroxil-2 .interactant span"
"174","cefalexin-2.html"," Cefalexin ","cefalexin-2","https://bnf.nice.org.uk/interaction/cefalexin-2.html","#cefalexin-2 .interactant span"
"175","cefixime-2.html"," Cefixime ","cefixime-2","https://bnf.nice.org.uk/interaction/cefixime-2.html","#cefixime-2 .interactant span"
"176","cefotaxime-2.html"," Cefotaxime ","cefotaxime-2","https://bnf.nice.org.uk/interaction/cefotaxime-2.html","#cefotaxime-2 .interactant span"
"177","cefradine-2.html"," Cefradine ","cefradine-2","https://bnf.nice.org.uk/interaction/cefradine-2.html","#cefradine-2 .interactant span"
"178","ceftaroline.html"," Ceftaroline ","ceftaroline","https://bnf.nice.org.uk/interaction/ceftaroline.html","#ceftaroline .interactant span"
"179","ceftazidime-2.html"," Ceftazidime ","ceftazidime-2","https://bnf.nice.org.uk/interaction/ceftazidime-2.html","#ceftazidime-2 .interactant span"
"180","ceftobiprole-2.html"," Ceftobiprole ","ceftobiprole-2","https://bnf.nice.org.uk/interaction/ceftobiprole-2.html","#ceftobiprole-2 .interactant span"
"181","ceftolozane.html"," Ceftolozane ","ceftolozane","https://bnf.nice.org.uk/interaction/ceftolozane.html","#ceftolozane .interactant span"
"182","ceftriaxone-2.html"," Ceftriaxone ","ceftriaxone-2","https://bnf.nice.org.uk/interaction/ceftriaxone-2.html","#ceftriaxone-2 .interactant span"
"183","cefuroxime-2.html"," Cefuroxime ","cefuroxime-2","https://bnf.nice.org.uk/interaction/cefuroxime-2.html","#cefuroxime-2 .interactant span"
"184","celecoxib-2.html"," Celecoxib ","celecoxib-2","https://bnf.nice.org.uk/interaction/celecoxib-2.html","#celecoxib-2 .interactant span"
"185","celiprolol.html"," Celiprolol ","celiprolol","https://bnf.nice.org.uk/interaction/celiprolol.html","#celiprolol .interactant span"
"186","ceritinib-2.html"," Ceritinib ","ceritinib-2","https://bnf.nice.org.uk/interaction/ceritinib-2.html","#ceritinib-2 .interactant span"
